atributo,count,missing,mean,std,min,25%,50%,75%,max
fecha,533,0,,,,,,,
marca,533,0,,,,,,,
ea,533.0,0,2.7202063789868665,0.1034796600034036,2.21,2.64,2.72,2.8,3.0
er,533.0,0,5.166341463414634,0.1044909415584873,4.72,5.1,5.18,5.24,5.44
eo,533.0,0,15.498555347091932,0.2578795385900606,14.53,15.33,15.53,15.68,16.03
gfa,533.0,0,82.44525904617261,0.6857500843415707,79.72972973,82.01058201,82.41269841,82.923674,85.36423841
gfr,533.0,0,66.66269182690431,0.5645752007503763,64.39189189,66.30573248,66.64552949,67.0580561,68.47682119
abv,533.0,0,6.937579737335835,0.18215284141007923,5.27,6.85,6.95,7.05,7.29
pH,532.0,1,4.333815789473684,0.063003212595105,4.1,4.3,4.33,4.38,4.49
grupo,533,0,,,,,,,
reposo2_min,533.0,0,4.836134191012239,5.179412621781253,1.0,2.1666666666666665,3.0,5.333333333333333,25.0
reposo2_temp,533.0,0,65.43190118824265,1.2655676228783703,64.03333333333333,65.03333333333333,65.06666666666666,65.13333333333333,70.16666666666667
reposo3_min,533.0,0,23.00328330206379,4.182560027428102,15.0,20.0,25.0,25.0,30.0
reposo3_temp,533.0,0,70.24159251317786,0.5040314572733344,69.96666666666667,70.06666666666666,70.1,70.13749999999999,72.2
reposo4_min,498.0,35,26.151080512526296,3.666118321052847,19.666666666666668,25.0,25.0,30.0,51.333333333333336
reposo4_temp,498.0,35,72.09662076878944,0.0863923406539871,71.73333333333333,72.05178571428573,72.09375,72.13333333333333,73.33333333333333
pH_1,533.0,0,5.598360046457607,0.029339038573774304,5.3,5.599999999999999,5.603333333333333,5.605,5.654285714285714
primer_mosto_extracto,533.0,0,18.77227016885553,0.6267629780475388,17.76,18.241666666666664,18.46666666666667,19.433333333333334,20.175714285714285
ultima_agua_extracto,533.0,0,1.604608237291164,0.16460755219770548,1.04,1.5033333333333332,1.56875,1.6583333333333332,2.311666666666667
agua_lavado_temp,533.0,0,76.27294871794872,0.1748581545082215,75.16666666666667,76.18333333333334,76.26666666666667,76.38333333333333,76.93333333333334
temperatura_llenado,533.0,0,74.48031001518805,0.5560713618242634,71.83333333333333,74.21666666666667,74.6,74.83333333333333,76.13333333333334
paila_llena_extracto,533.0,0,15.963478066648802,1.3751481422942715,14.783333333333331,15.04,15.15,17.741666666666667,18.743333333333336
ebullicion_minutos,533.0,0,44.69355847404628,4.51081774222838,39.66666666666666,40.0,43.0,50.0,51.66666666666666
ebullicion_temp,533.0,0,100.90774680603948,0.27584474112158314,100.33333333333331,100.56666666666666,101.0,101.06666666666666,101.76666666666668
mosto_frio_extracto,533.0,0,15.991614424193694,0.07815440570341035,15.596666666666666,15.973333333333334,15.996666666666668,16.0175,17.326666666666668
